id,tCreacion,tLlegadaCola,tInicioServicio,tSalidaCabina
4,0.533333,3.46667,6.45,9.25
3,0.116667,3.23333,6.58333,9.56667
1,0.0166667,3.55,7.35,9.7
5,0.55,3.76667,7.2,9.8
2,0.0333333,3.28333,6.76667,10.5
8,1.08333,4.81667,15.7167,17.9833
10,1.53333,4.96667,15.5,18
7,0.966667,4.7,15.2667,19.0333
6,0.616667,4.28333,15.5,19.5833
9,1.21667,4.65,16.2,20.2833
16,2.58333,5.71667,23.4,25.6167
13,2.1,5.56667,23.7333,26.1
11,1.66667,5.03333,24.8,27.3833
12,1.76667,5.33333,24.8833,28.5667
14,2.13333,5.23333,25.3167,30
20,3.16667,6.36667,30.6333,32.9667
19,3.06667,6.36667,31.6667,34.2333
15,2.31667,5.78333,33.1333,38
18,2.86667,6,35.2333,38.4
17,2.63333,6.16667,34.3667,38.9333
25,11.7667,15.7667,39.3,43.0667
22,10.85,14.2667,39.9333,44.2333
21,10.5167,13.5333,43.3167,47.5667
23,11,13.8667,43.5667,47.65
24,11.0667,13.95,44.0667,48.4
28,20.3,24.0333,49.0667,51.9
29,20.85,23.9667,49.5667,53.65
26,19.25,23.0167,53.65,57.0667
30,21.55,25.1167,54.2333,57.5667
27,19.2667,22.7333,53.2333,57.9833
34,29.9,33.3,57.5667,61.7333
33,28.6667,32.6333,59.9,63.0667
31,26.8833,29.8667,63.15,66.9
36,34.2333,37.2333,62.7333,66.9
32,27.3833,30.4667,62.3167,67.0667
39,39.7,43.15,67.4,70.65
38,39.2667,42.8167,68.9833,72.8167
35,31.3,34.3,72.15,74.9833
37,35.5,38.3,72.15,76.0667
40,40.2,43.15,72.0667,76.0667
43,48.9,52.5667,76.65,80.7333
44,48.9833,52.4,78.5667,83.4
41,44.4,47.8167,80.7333,83.65
45,49.7333,52.9,81.4833,85.15
42,45.65,48.9,81.65,85.65
47,54.9833,58.2333,86.3167,89.0667
49,58.9,61.7333,88.5667,92.0667
50,59.3167,62.15,90.3167,92.7333
46,53.3167,56.9,89.5667,93.9833
48,58.4,62.15,91.7333,96.5667
52,64.4,67.9,94.9,98.9833
53,68.2333,71.7333,97.9,101.4
51,63.0667,66.3167,99.65,102.317
54,68.4,72.15,98.9,103.817
55,68.65,71.9,102.15,105.15
57,74.15,76.9,103.983,108.817
56,71.9833,74.7333,107.4,111.233
58,76.4,79.65,107.067,111.983
61,82.15,85.4,109.4,113.817
59,77.4,81.0667,111.15,113.9
62,84.8167,87.9833,114.317,118.4
60,77.4833,80.9,116.983,120.567
63,85.0667,88.65,117.9,121.983
66,90.4,94.2333,120.067,122.733
65,87.2333,90.9,119.817,124.567
67,93.4,97.3167,124.65,127.317
64,86.4833,89.9833,126.4,128.9
70,97.9833,101.483,127.9,131.733
68,94.2333,97.9,128.733,132.067
69,95.5667,99.4,130.733,132.817
73,103.65,106.4,132.233,136.983
71,100.4,103.983,134.733,137.317
74,105.317,108.567,137.233,140.317
72,102.733,106.65,138.317,141.65
75,106.483,109.483,137.983,142.233
76,110.233,113.567,142.9,144.983
77,112.567,115.65,142.317,145.233
79,115.317,118.067,145.317,147.733
78,113.317,116.983,147.65,149.9
81,119.817,123.067,147.817,152.4
80,115.4,118.733,150.567,154.15
82,121.9,125.4,151.067,155.9
85,126.233,129.483,153.233,158.067
84,124.067,127.567,155.65,159.4
86,128.65,132.567,158.567,161.65
83,123.317,126.9,159.983,162.733
87,130.483,133.483,161.15,163.567
89,133.483,136.233,164.4,166.733
91,138.317,141.567,163.567,167.983
90,134.15,136.983,166.65,169.817
88,133.067,135.817,167.65,170.817
93,141.733,145.317,169.4,172.067
92,138.65,142.233,172.567,175.317
94,143.067,145.983,173.067,176.65
96,146.317,149.317,175.067,177.817
95,143.567,146.817,176.233,179.9
98,149.233,152.4,177.483,182.233
97,146.65,150.233,181.15,184.65
99,151.317,154.65,182.233,185.067
101,155.483,158.817,183.4,186.983
100,153.817,156.9,185.15,188.483
102,157.4,161.317,188.4,192.317
106,164.15,167.067,192.15,194.817
104,160.733,164.4,191.067,194.817
105,163.067,166.983,190.9,195.65
103,159.483,162.4,193.567,197.733
108,168.233,171.567,197.9,200.4
109,169.317,172.15,200.65,202.65
111,172.15,175.4,200.4,203.567
110,171.15,174.733,200.65,204.4
107,165.317,168.15,202.817,207.483
113,176.983,180.4,206.067,208.983
112,173.4,176.233,207.65,209.9
117,183.567,186.317,209.317,211.4
116,181.233,184.9,209.567,212.317
118,186.067,188.983,214.15,217.4
114,177.983,181.4,213.15,218.067
115,179.233,182.15,215.067,219.317
120,188.317,192.15,217.567,219.65
121,190.15,192.983,217.4,220.15
124,196.317,199.317,222.567,227.233
119,186.65,190.233,223.9,228.4
123,196.233,200.15,225.567,228.733
126,199.067,202.15,224.983,229.567
125,197.233,201.067,226.317,230.067
129,204.9,207.983,234.067,236.483
128,203.983,207.483,232.983,237.317
132,210.317,213.233,234.733,237.483
122,193.65,196.733,233.733,238.15
131,208.817,212.65,236.233,240.65
130,205.817,208.817,241.65,244.733
137,219.4,222.4,242.65,246.9
133,211.483,214.317,242.4,247.067
127,201.817,205.65,244.233,247.4
136,218.733,221.567,245.733,250.4
135,213.733,217.233,250.483,254.317
141,228.567,231.483,252.067,255.4
134,212.733,216.4,253.4,255.65
138,220.65,223.817,252.483,256.233
139,220.983,223.817,255.4,259.983
144,230.9,234.817,261.733,263.9
140,221.817,224.567,260.65,264.067
142,229.733,232.483,259.233,264.15
145,231.483,234.817,261.9,265.15
143,230.067,232.817,264.983,269.483
146,237.817,240.733,269.317,271.733
148,238.9,242.733,270.15,272.817
147,238.65,242.483,270.317,273.65
149,239.483,242.983,271.067,274.733
151,246.067,249.483,275.233,277.65
150,242.067,245.4,277.4,280.9
152,248.4,251.65,279.15,281.233
155,251.817,255.733,279.15,281.65
156,255.65,258.567,279.983,282.483
153,248.483,251.9,283.4,287.15
157,256.733,259.983,286.483,289.65
163,265.733,269.233,287.483,289.9
154,248.817,251.733,286.483,291.317
162,265.65,269.317,288.483,292.067
160,261.4,265.233,293.317,295.983
159,257.733,260.817,294.983,296.983
165,271.067,274.65,295.817,299.9
